name,entrez_id
RAD54L,8438
LGR5,8549
IRS2,8660
ABCC3,8714
CFLAR,8837
PROM1,8842
ALDH1A2,8854
SPHK1,8877
FUBP1,8880
MBD4,8930
CCNE2,9134
AURKB,9212
PTTG1,9232
KLF4,9314
ABCG2,9429
KIF23,9493
SNCAIP,9627
SH3PXD2A,9644
HDAC9,9734
CUL7,9820
FGF19,9965
AKT3,10000
HDAC6,10013
BCL2L11,10018
SH2B3,10019
RAD50,10111
SPRY2,10253
MAEA,10296
TUBB3,10381
YAP1,10413
MERTK,10461
HOXB13,10481
NCOA2,10499
AGR2,10551
SLCO1B1,10599
CTCF,10664
DLL3,10683
STAG3,10734
STAG2,10735
HSPH1,10808
TLK2,11011
PTPRT,11122
PTP4A3,11156
CHEK2,11200
RRAS2,22800
ZHX2,22882
DKK1,22943
NT5C2,22978
CIC,23152
DICER1,23405
SIRT1,23411
BRD4,23476
CBLC,23624
PPP1R15A,23645
POT1,25913
WWTR1,25937
SETBP1,26040
PDCD4,27250
MAGEH1,28986
DROSHA,29102
TBK1,29110
CD274,29126
TLX3,30012
CTAG2,30848
FOXP3,50943
CRBN,51185
DDX41,51428
SUFU,51684
CDK12,51755
RSF1,51773
LRP1B,53353
ERRFI1,54206
ROBO4,54538
UGT1A1,54658
BCOR,54880
FANCL,55120
NUDT15,55270
FBXW7,55294
DDX43,55510
WDR12,55759
PBK,55872
POLE4,56655
CYSLTR2,57105
CIP2A,57650
KMT2C,58508
BACH2,60468
PAPPA2,60676
PBLD,64081
CRLF2,64109
RBM15,64783
ZFTA,65998
BIRC7,79444
GALNT14,79623
PALB2,79728
PREX2,80243
PDCD1LG2,80380
NECTIN4,81607
BRIP1,83990
CARD11,84433
MAML2,84441
HAVCR2,84868
ABCC10,89845
IL33,90865
SLFN11,91607
RCSD1,92241
NAPRT,93100
H3C14,126961
VPS37A,137492
PXDNL,137902
BEND2,139105
AMER1,139285
FOXR2,139628
DGKH,160851
ZNF384,171017
ARID2,196528
FLCN,201163
VGLL2,245806
RICTOR,253260
RABL3,285282
ATXN1L,342371
EML6,400954
MIR21,406991
MIR218-1,407000
ECSCR,641700
KLLN,100144748
DUX4,100288687
PRNCR1,101867536
COX2,4513
ND1,4535
